,App Id,Name,Developers,Publishers,Metascores,Owners,Genres
0,10,Counter-Strike,Valve,Valve,88%,"10,000,000 .. 20,000,000",['Action']
1,10090,Call of Duty: World at War,Treyarch,Activision,83%,"2,000,000 .. 5,000,000",['Action']
2,10180,Call of Duty: Modern Warfare 2,Infinity Ward,Activision,86%,"5,000,000 .. 10,000,000",['Action']
3,1022450,War Selection,Glyph Worlds,Glyph Worlds,n/a,"500,000 .. 1,000,000","['Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy', 'Early Access']"
4,102500,Kingdoms of Amalur: Reckoning,Big Huge Games,38 Studios,81%,"500,000 .. 1,000,000","['Action', 'RPG']"
5,1046030,ISLANDERS,GrizzlyGames,GrizzlyGames,82%,"200,000 .. 500,000","['Casual', 'Indie', 'Strategy']"
6,1046930,Dota Underlords,Valve,Valve,n/a,"5,000,000 .. 10,000,000","['Casual', 'Free to Play', 'Strategy', 'in Early Access']"
7,104900,ORION: Prelude,Spiral Game Studios,DANKIE,n/a,"2,000,000 .. 5,000,000","['Action', 'Adventure', 'Indie', 'RPG']"
8,10500,Total War: EMPIRE – Definitive Edition,CREATIVE ASSEMBLY,SEGA,90%,"2,000,000 .. 5,000,000",['Strategy']
9,105450,Age of Empires III (2007),Ensemble Studios,Xbox Game Studios,81%,"2,000,000 .. 5,000,000","['Simulation', 'Strategy']"
10,105600,Terraria,Re-Logic,Re-Logic,83%,"20,000,000 .. 50,000,000","['Action', 'Adventure', 'Indie', 'RPG']"
11,1057090,Ori and the Will of the Wisps,Moon Studios GmbH,Xbox Game Studios,88%,"1,000,000 .. 2,000,000",['Action']
12,1066780,Transport Fever 2,Urban Games,Good Shepherd Entertainment,76%,"200,000 .. 500,000","['Simulation', 'Strategy']"
13,10680,Aliens vs. Predator,Rebellion,SEGA,68%,"1,000,000 .. 2,000,000",['Action']
14,107100,Bastion,Supergiant Games,Supergiant Games,86%,"2,000,000 .. 5,000,000","['Action', 'Indie', 'RPG']"
15,107410,Arma 3,Bohemia Interactive,Bohemia Interactive,74%,"5,000,000 .. 10,000,000","['Action', 'Simulation', 'Strategy', 'in Early Access']"
16,1080110,F1 2020,Codemasters,Codemasters,n/a,"200,000 .. 500,000","['Racing', 'Simulation', 'Sports']"
