,#,Name,Positive,Negative,Rating,Positive.1
0,1.0,Counter-Strike: Global Offensive,4164326,574077,87.51%,87.88%
1,2.0,Dota 2,1153963,209989,84.11%,84.60%
2,3.0,PLAYERUNKNOWN'S BATTLEGROUNDS,835143,713614,53.87%,53.92%
3,4.0,Grand Theft Auto V,753802,183417,79.94%,80.43%
4,5.0,Tom Clancy's Rainbow Six Siege,660205,91423,87.19%,87.84%
5,6.0,Team Fortress 2,659334,41786,93.27%,94.04%
6,7.0,Garry's Mod,579984,21647,95.56%,96.40%
7,8.0,Terraria,574168,12743,96.95%,97.83%
8,9.0,Rocket League,408607,42431,89.79%,90.59%
9,10.0,The Witcher 3: Wild Hunt,404281,7949,97.09%,98.07%
10,11.0,Rust,401953,75521,83.52%,84.18%
11,12.0,PAYDAY 2,398595,58978,86.38%,87.11%
12,13.0,Left 4 Dead 2,373064,10984,96.16%,97.14%
13,14.0,Unturned,362437,35763,90.17%,91.02%
14,15.0,Warframe,347290,34951,90.00%,90.86%
15,16.0,Euro Truck Simulator 2,329610,8833,96.36%,97.39%
16,17.0,Dead by Daylight,294136,67453,80.68%,81.35%
17,18.0,ARK: Survival Evolved,280058,81737,76.83%,77.41%
18,19.0,The Elder Scrolls V: Skyrim,272921,15420,93.64%,94.65%
19,20.0,Stardew Valley,261340,6322,96.53%,97.64%
20,21.0,Paladins,237773,40185,84.73%,85.54%
21,22.0,Destiny 2,237269,35723,86.06%,86.91%
22,23.0,Monster Hunter: World,220111,44739,82.34%,83.11%
23,24.0,Borderlands 2,218423,15554,92.30%,93.35%
24,25.0,Portal 2,208003,2610,97.54%,98.76%
25,26.0,Don't Starve Together,198574,7613,95.14%,96.31%
26,27.0,DARK SOULS™ III,193149,13926,92.19%,93.27%
27,28.0,The Forest,191350,11874,93.04%,94.16%
28,29.0,Dying Light,177417,9989,93.51%,94.67%
29,30.0,Fallout 4,163473,49001,76.27%,76.94%
30,31.0,Tomb Raider,162248,6296,95.03%,96.26%
31,32.0,Counter-Strike,161057,4232,96.17%,97.44%
32,33.0,Sid Meier's Civilization V,159606,6432,94.89%,96.13%
33,34.0,DayZ,156520,84944,64.47%,64.82%
34,35.0,Arma 3,151718,16255,89.24%,90.32%
35,36.0,Fall Guys,150514,38825,78.73%,79.49%
36,37.0,Brawlhalla,145630,26181,83.84%,84.76%
37,38.0,War Thunder,138898,33896,79.58%,80.38%
38,39.0,Life is Strange™,136365,5223,95.01%,96.31%
39,40.0,Doki Doki Literature Club,136103,4425,95.53%,96.85%
40,41.0,Starbound,134065,9865,91.94%,93.15%
41,42.0,Subnautica,132371,6121,94.29%,95.58%
42,43.0,Path of Exile,130914,9448,92.05%,93.27%
43,44.0,Undertale,127423,5001,94.90%,96.22%
44,45.0,Cities: Skylines,121979,9837,91.31%,92.54%
